dialogue_system	text_id	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q0	annotator_id
2	65c71e43f174b2897703751e	3	3	3	4	4	4	1	2	3	3
0	65c72472f174b28977037529	0	3	0	0	0	3	3	2	3	3
0	65c7269df174b2897703753e	0	2	0	0	0	4	3	2	3	10
0	65c72722f174b28977037547	0	3	0	0	0	2	3	2	3	3
1	65c7276bf174b2897703754a	1	2	1	2	1	4	1	2	2	7
1	65c729b5f174b28977037559	4	4	3	4	4	2	4	3	3	7
1	65c72a1af174b2897703755b	3	4	2	4	3	3	1	2	3	3
1	65c73027f174b28977037564	4	3	2	3	4	4	1	2	3	3
2	65c73512f174b2897703756c	4	3	3	3	4	4	4	2	1	10
2	65c7374ff174b2897703757b	3	2	2	3	4	3	3	3	2	10
0	65c73879f174b28977037586	0	1	0	0	0	2	4	3	3	10
1	65c7387ef174b28977037588	3	3	4	4	4	3	1	2	3	3
2	65c73a1cf174b28977037591	3	3	2	2	2	3	3	3	2	7
1	65c74569f174b28977037599	4	4	3	3	4	3	1	3	2	3
1	65c76b8ef174b289770375a3	3	4	3	2	2	3	4	2	3	7
2	65c7770cf174b289770375ab	2	4	2	2	1	3	3	3	2	7
0	65c7b249f174b289770375b8	0	4	0	0	0	4	4	2	4	18
2	65c7b5cbf174b289770375c0	3	4	2	2	3	4	4	2	3	18
0	65c7bcc7f174b289770375d4	0	4	0	0	0	3	4	2	4	18
1	65c7bf51f174b289770375e3	4	4	4	4	1	4	4	2	4	18
2	65c7c103f174b289770375f1	4	4	4	4	4	4	4	2	4	18
0	65c7c59ff174b289770375f8	0	4	0	0	0	4	4	2	4	18
2	65c7da9bf174b289770375fc	4	3	3	4	3	3	1	3	2	3
0	65c7dcdaf174b28977037605	0	3	0	0	0	3	1	2	3	3
1	65c7e116f174b28977037610	3	3	2	4	4	3	3	2	3	3
1	65c7e363f174b2897703761b	3	2	4	3	3	2	1	3	2	3
1	65c7e61df174b28977037629	3	3	2	4	4	3	1	3	2	3
2	65c8df27f174b28977037641	3	3	3	3	2	4	4	2	4	23
0	65c8ee9ff174b28977037645	0	4	0	0	0	3	3	2	3	22
1	65c8ffd5f174b28977037654	3	3	4	3	2	4	2	1	3	23
1	65c90311f174b2897703765d	4	4	4	4	4	4	3	2	4	22
1	65c903e2f174b28977037665	4	3	4	4	2	4	4	2	4	23
0	65c907cdf174b2897703766d	0	4	0	0	0	3	3	2	3	22
1	65c95f37f174b28977037681	3	4	4	1	2	4	4	2	2	15
2	65c96204f174b28977037687	2	4	4	3	3	4	4	2	3	15
1	65c964abf174b2897703768c	4	4	4	3	3	4	4	2	3	15
2	65c96644f174b28977037693	3	3	2	2	1	4	4	2	2	15
2	65c966f2f174b28977037698	2	4	4	2	2	4	4	2	3	15
0	65c99858f174b289770376a2	0	4	0	0	0	4	4	2	2	15
1	65c99962f174b289770376a7	4	4	4	4	4	4	4	2	4	15
0	65c99f2df174b289770376af	0	4	0	0	0	4	4	2	2	15
1	65c9a1b9f174b289770376b6	4	4	4	4	3	4	4	2	3	15
2	65c9a360f174b289770376bf	1	4	1	1	1	4	4	2	2	15
0	65c9a5c0f174b289770376c9	0	4	0	0	0	4	4	2	3	11
2	65c9ab5ef174b289770376d8	3	4	2	2	2	4	4	2	1	15
1	65c9ac70f174b289770376e1	4	4	1	1	1	4	4	2	3	15
1	65c9aea5f174b289770376f1	3	3	4	4	4	4	4	2	4	7
1	65c9af74f174b289770376f4	4	4	3	4	3	3	4	2	3	5
1	65c9b0eef174b289770376fb	3	4	3	3	4	4	4	2	3	12
0	65c9b257f174b28977037706	0	3	0	0	0	3	4	2	1	10
2	65c9b28ef174b2897703770b	3	4	4	3	3	4	4	2	3	15
1	65c9b2abf174b2897703770d	3	4	3	3	3	3	3	2	3	11
0	65c9b31ef174b28977037718	0	4	0	0	0	4	4	2	3	15
1	65c9b444f174b28977037727	1	4	1	1	1	4	4	2	2	15
2	65c9b4a0f174b2897703772f	2	3	2	3	2	2	3	2	3	12
1	65c9b62af174b28977037748	4	4	2	4	4	4	4	2	3	15
1	65c9b659f174b2897703774d	4	4	2	2	4	3	4	2	4	2
0	65c9b859f174b28977037761	0	4	0	0	0	4	4	2	3	11
2	65c9b861f174b28977037763	3	4	2	2	1	3	2	2	3	10
2	65c9b894f174b28977037769	3	3	3	3	4	3	3	2	3	2
0	65c9bac3f174b2897703777e	0	3	0	0	0	3	2	2	4	2
1	65c9badaf174b28977037781	4	2	4	4	4	3	4	2	1	10
0	65c9bb67f174b28977037793	0	3	0	0	0	4	4	2	4	2
2	65c9bb88f174b28977037799	4	3	3	3	3	3	3	2	3	5
0	65c9bbf2f174b289770377a6	0	4	0	0	0	3	3	1	2	10
1	65c9bc12f174b289770377a9	3	3	3	3	4	4	4	2	3	12
0	65c9bce0f174b289770377bd	0	3	0	0	0	4	4	2	1	10
2	65c9bd38f174b289770377c2	4	1	3	4	3	3	4	3	3	13
1	65c9bde8f174b289770377d8	3	1	3	4	2	1	2	3	3	2
2	65c9be48f174b289770377de	3	4	2	2	2	4	4	2	3	15
0	65c9bec3f174b289770377ee	0	4	0	0	0	4	4	2	2	15
2	65c9bf20f174b289770377f7	3	4	2	4	4	4	4	2	2	11
0	65c9bf9ef174b289770377fe	0	4	0	0	0	4	4	2	2	15
2	65c9bffaf174b28977037806	3	3	3	3	3	2	3	3	2	5
1	65c9c047f174b28977037813	4	4	4	4	4	4	4	2	4	15
2	65c9c078f174b28977037818	3	2	3	3	3	1	3	2	2	2
0	65c9c0fcf174b28977037825	0	4	0	0	0	4	4	2	2	15
1	65c9c129f174b2897703782a	1	1	4	1	1	2	1	3	1	5
0	65c9c181f174b28977037839	0	4	0	0	0	4	4	2	2	15
0	65c9c22ef174b2897703784e	0	4	0	0	0	4	4	2	3	15
0	65c9c29ff174b28977037855	0	4	0	0	0	4	4	2	2	15
2	65c9c33df174b28977037860	3	1	2	3	3	4	4	3	3	13
2	65c9c416f174b28977037868	3	4	1	1	1	4	4	2	3	11
0	65c9c665f174b2897703787e	0	1	0	0	0	4	4	2	4	13
2	65c9c66df174b28977037880	3	3	3	3	2	4	3	2	3	23
2	65c9c70ff174b28977037891	3	3	3	3	3	4	4	3	3	12
2	65c9c844f174b289770378b3	4	1	2	4	4	4	4	2	4	13
2	65c9c8b2f174b289770378c3	3	3	2	3	3	3	3	2	3	5
0	65c9c8c9f174b289770378c7	0	3	0	0	0	3	3	1	3	23
0	65c9c8caf174b289770378c8	0	4	0	0	0	4	4	2	3	11
1	65c9c8d9f174b289770378cc	3	3	3	3	3	3	4	2	2	12
0	65c9caa7f174b289770378e6	0	3	0	0	0	4	4	2	3	12
2	65c9caaef174b289770378e8	3	1	2	2	2	4	4	3	2	13
2	65c9ccbcf174b289770378f7	3	4	3	3	4	3	4	2	4	22
2	65c9cccaf174b289770378f9	1	3	1	1	3	3	4	3	2	12
1	65c9ccf8f174b289770378fe	2	4	2	2	2	3	4	2	2	7
2	65c9cfb3f174b28977037906	3	3	3	3	2	4	4	2	3	23
0	65c9d78ff174b28977037916	0	4	0	0	0	4	4	2	2	15
0	65c9d7c6f174b2897703791b	0	4	0	0	0	4	4	2	4	10
0	65c9d7f6f174b28977037923	0	4	0	0	0	4	4	2	2	15
1	65c9d8e5f174b28977037939	4	4	4	4	4	4	4	2	4	15
1	65c9da77f174b28977037941	1	2	3	1	1	2	3	2	1	10
0	65c9db5df174b2897703794a	0	4	0	0	0	4	3	2	4	10
1	65c9dd5df174b28977037959	3	4	2	2	2	3	3	2	2	10
0	65c9dfe8f174b2897703796d	0	2	0	0	0	3	4	3	2	2
1	65c9e011f174b28977037970	4	4	4	4	4	4	4	2	4	10
1	65c9e093f174b28977037977	4	1	3	4	4	4	4	2	4	13
2	65c9e0a9f174b2897703797c	2	4	4	1	1	3	3	2	2	11
0	65c9e117f174b28977037986	0	3	0	0	0	1	3	3	3	2
0	65c9e259f174b28977037999	0	3	0	0	0	3	4	2	2	22
0	65c9e29cf174b2897703799d	0	2	0	0	0	2	1	2	2	10
0	65c9e2f0f174b289770379ac	0	2	0	0	0	2	3	3	3	2
2	65c9e3f1f174b289770379c5	3	1	1	1	3	3	4	2	2	13
1	65c9e3f6f174b289770379c7	2	3	2	3	3	3	4	2	3	5
1	65c9e49df174b289770379dd	4	4	4	4	4	4	4	2	4	23
0	65c9e4c9f174b289770379e2	0	4	0	0	0	4	4	2	3	5
0	65c9e579f174b289770379f3	0	4	0	0	0	4	4	2	3	5
0	65c9e641f174b28977037a04	0	2	0	0	0	3	4	3	3	2
1	65c9e6b5f174b28977037a16	3	4	2	3	2	3	3	2	2	11
0	65c9e716f174b28977037a23	0	4	0	0	0	3	4	2	3	5
1	65c9e75bf174b28977037a2e	3	3	3	3	2	4	3	2	3	23
2	65c9e7d9f174b28977037a3f	4	3	4	4	4	4	4	2	4	2
2	65c9e7eaf174b28977037a45	3	3	3	3	4	4	4	2	3	12
1	65c9e81df174b28977037a53	4	1	2	2	4	4	4	2	4	13
2	65c9e885f174b28977037a5f	1	3	1	1	1	2	4	3	1	5
0	65c9ea70f174b28977037a7f	0	3	0	0	0	4	4	2	3	23
0	65c9ea9cf174b28977037a84	0	3	0	0	0	4	4	2	3	12
0	65c9eae6f174b28977037a8b	0	3	0	0	0	4	4	2	3	23
2	65c9eb09f174b28977037a90	3	4	3	3	3	3	3	2	3	22
2	65c9eb68f174b28977037a99	4	3	3	3	3	3	4	2	3	10
1	65c9ebb6f174b28977037aa5	3	3	3	3	3	4	4	2	3	23
2	65c9ebedf174b28977037aad	3	3	3	3	3	3	4	2	3	18
2	65c9ec9af174b28977037ab9	2	3	2	2	2	4	4	2	3	23
2	65c9eccdf174b28977037abc	1	4	1	1	1	4	4	2	3	11
2	65c9ece5f174b28977037abe	2	3	2	2	3	3	3	3	2	7
1	65c9edf0f174b28977037ace	3	4	3	3	3	4	4	2	3	23
1	65c9edf6f174b28977037ad1	3	1	4	4	3	4	4	2	4	13
1	65c9ee66f174b28977037ad8	4	1	4	4	3	3	2	1	2	10
1	65c9eeb1f174b28977037ae0	2	3	2	2	3	3	4	3	2	5
2	65c9ef50f174b28977037aee	3	3	3	3	3	3	4	2	3	18
2	65c9ef9ff174b28977037af4	3	3	3	3	3	4	4	2	3	12
0	65c9efadf174b28977037af7	0	4	0	0	0	3	3	2	3	11
0	65c9f033f174b28977037b08	0	4	0	0	0	4	4	2	4	7
2	65c9f0b2f174b28977037b10	2	4	2	2	2	4	4	2	3	12
2	65c9f117f174b28977037b14	2	1	3	1	2	4	4	2	2	13
0	65c9f24ef174b28977037b1c	0	3	0	0	0	4	4	2	3	12
2	65c9f2f5f174b28977037b2c	4	4	4	4	4	4	4	2	4	23
1	65c9f2fff174b28977037b2e	4	4	4	4	4	4	4	2	4	18
2	65c9f34df174b28977037b34	3	3	2	3	3	3	4	2	3	5
1	65c9f3b1f174b28977037b3f	4	4	4	4	4	4	4	2	4	23
0	65c9f4dff174b28977037b4f	0	3	0	0	0	4	4	2	3	12
1	65c9f515f174b28977037b54	3	3	3	3	3	3	3	3	2	5
2	65c9f5e2f174b28977037b60	2	3	3	2	3	3	4	3	2	5
2	65c9f62ef174b28977037b65	3	3	3	3	4	4	4	2	3	12
1	65c9f712f174b28977037b6d	3	4	3	3	4	3	4	2	3	5
0	65c9f7cbf174b28977037b78	0	4	0	0	0	4	4	2	3	5
0	65c9f916f174b28977037b80	0	4	0	0	0	4	4	2	3	11
1	65c9fa09f174b28977037b88	3	3	3	3	3	3	4	1	3	5
2	65c9fb2ff174b28977037b90	0	4	0	0	0	4	4	2	4	18
0	65c9fb8df174b28977037b93	0	4	0	0	0	4	4	2	3	11
0	65c9fbfdf174b28977037b96	0	1	3	0	0	1	1	1	1	10
2	65c9fdabf174b28977037b9c	1	4	1	1	1	3	3	2	2	10
0	65ca0179f174b28977037baa	0	4	0	0	0	4	4	2	4	10
2	65ca0376f174b28977037bb3	1	4	3	1	1	4	4	2	2	11
2	65ca04ecf174b28977037bb5	3	4	3	3	4	4	3	2	3	22
1	65ca0914f174b28977037bc2	4	4	3	3	4	4	4	2	4	18
2	65ca0a93f174b28977037bca	3	3	3	3	3	4	3	2	3	22
0	65ca0c58f174b28977037bd6	0	4	0	0	0	4	4	2	4	18
0	65ca0d19f174b28977037bde	0	3	0	0	0	3	4	2	2	22
2	65ca0d9af174b28977037be7	3	3	3	3	4	3	3	3	3	18
0	65ca0f23f174b28977037bf2	0	3	0	0	0	4	3	2	3	22
2	65ca0f6ff174b28977037bf6	3	3	3	3	3	3	4	3	3	18
0	65ca189ff174b28977037bfe	0	4	0	0	0	4	4	2	4	18
2	65ca1988f174b28977037c05	4	4	4	4	4	4	4	2	4	18
1	65ca1f4df174b28977037c0c	3	2	1	2	2	4	4	2	2	16
0	65ca1fe6f174b28977037c13	0	3	0	0	0	4	4	2	3	16
0	65ca207af174b28977037c1a	0	3	0	0	0	3	3	2	3	16
0	65ca2184f174b28977037c20	0	2	0	0	0	3	4	3	2	16
1	65ca225cf174b28977037c27	2	2	4	3	2	4	4	2	2	16
0	65ca2346f174b28977037c2e	0	2	0	0	0	3	3	3	3	16
0	65ca23c7f174b28977037c35	0	3	0	0	0	3	3	3	2	16
1	65ca2480f174b28977037c3c	3	3	2	4	3	4	3	2	3	16
1	65ca24fff174b28977037c42	3	3	3	3	3	3	3	2	3	16
